,company_name,status,country_code,state_code,days_in_op,first_funding_dayinop,sa_funded_daysop,cr_funded_daysop,ag_funded_daysop,ve_funded_daysop,CA,NY,MA,TX,WA,founded_month,ave_inf_y,sa_raised_amount_usd_adj,ag_raised_amount_usd_adj,ve_raised_amount_usd_adj,cr_raised_amount_usd_adj,software,Biotech,health,web,mobile,enterprise,hardware,advertising,security,manufacturing,social,semiconductor,medical,consulting,education,search,messaging,news,transportation,fashion
7963,Proximex,acquired,USA,CA,4355.0,2220.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,18.08080808,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7964,Proxy Technologies,operating,USA,VA,4720.0,2402.0,0.0,0.0,3638.0,0.0,0,0,0,0,0,1,17.58181818,0.0,89328.64,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7965,ProZyme,operating,USA,CA,9468.0,7956.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,12.2020202,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7966,Prysm,operating,USA,CA,3989.0,1830.0,0.0,0.0,0.0,1830.0,1,0,0,0,0,1,18.72727273,0.0,0.0,2145000.0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7967,PSG Construction,operating,USA,FL,10564.0,9742.0,0.0,0.0,0.0,9742.0,0,0,0,0,0,1,10.47474747,0.0,0.0,61875.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7969,Psychiatric Solutions,acquired,USA,TN,10199.0,5488.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,10.94949495,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7970,PTC Therapeutics,ipo,USA,NJ,6546.0,1357.0,0.0,0.0,0.0,2870.0,0,0,0,0,0,1,15.46464646,0.0,0.0,17290000.0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7972,Pubelo Shuttle Express,operating,USA,NM,8263.0,6076.0,0.0,0.0,0.0,0.0,0,0,0,0,0,4,13.595959599999999,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7973,PRX,operating,USA,MA,4720.0,2807.0,0.0,0.0,0.0,0.0,0,0,1,0,0,1,17.58181818,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7975,Public Verification,operating,USA,OR,6911.0,5851.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,15.21212121,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
